field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F444W_err,F444W_SNR,F356W_flux,F356W_err,A_pix,FWHM_pix,rank_in_bin,bin_size,hunt_type
GOODS-S,397604,7.720000267028809,0.9999998807907104,6-8,97038.0978,11.6670,8317.29,39021.2167,6.1207,0.6503,1.3701,1,4157,brightness
GOODS-N,1093738,7.700000286102295,0.9999999403953552,6-8,84535.3274,17.0882,4946.99,39099.3540,23.2083,0.4756,1.0142,2,4157,brightness
GOODS-N,1093036,7.420000076293945,1.0,6-8,44252.2090,14.7014,3010.07,58825.4495,42.6592,0.1778,0.3832,3,4157,brightness
GOODS-S,416498,7.659999847412109,1.0,6-8,29254.6024,13.4600,2173.45,39430.6042,16.3984,0.2173,0.4869,4,4157,brightness
GOODS-N,1026338,7.170000076293945,1.0,6-8,22860.1708,7.9316,2882.17,30924.4629,10.2012,0.1543,0.3415,5,4157,brightness
GOODS-N,1204032,7.690000057220459,1.0000001192092896,6-8,19642.4589,12.7886,1535.94,25305.8327,15.5867,0.1247,0.2865,6,4157,brightness
GOODS-S,189201,7.720000267028809,0.9999998807907104,6-8,19143.4189,6.2311,3072.26,24954.9735,7.9757,0.1724,0.3998,7,4157,brightness
GOODS-N,1203603,7.400000095367432,0.9999999403953552,6-8,17696.4992,5.6783,3116.49,22779.1984,6.7371,0.1588,0.3594,8,4157,brightness
GOODS-S,421482,7.28000020980835,1.0000001192092896,6-8,16448.4106,15.8913,1035.06,20730.8177,15.8125,0.1546,0.3413,9,4157,brightness
GOODS-N,1073055,7.809999942779541,1.0,6-8,15956.9472,6.3478,2513.79,19660.8293,6.6660,0.1596,0.3593,10,4157,brightness
GOODS-S,412016,6.940000057220459,0.9999998807907104,6-8,15525.7758,5.1240,3030.00,20019.2025,6.0919,0.1624,0.3676,11,4157,brightness
GOODS-S,376217,6.550000190734863,1.0,6-8,15276.9939,6.5299,2339.53,21335.4903,6.9544,0.1645,0.3743,12,4157,brightness
GOODS-N,1027862,7.75,0.9999998807907104,6-8,14989.3862,8.4244,1779.28,19155.5371,8.5376,0.1361,0.3123,13,4157,brightness
GOODS-S,414989,7.429999828338623,1.0,6-8,14807.3934,19.2358,769.78,13185.9632,16.2436,0.3798,0.7979,14,4157,brightness
GOODS-S,394919,7.740000247955322,1.0,6-8,14703.1767,8.6356,1702.61,17829.7182,5.0875,0.1890,0.4249,15,4157,brightness
GOODS-S,185898,7.240000247955322,0.9999999403953552,6-8,14414.1331,7.4230,1941.82,17600.4286,8.0073,0.1377,0.3158,16,4157,brightness
GOODS-S,408815,7.710000038146973,0.9999998807907104,6-8,14254.7158,4.2147,3382.16,17128.8175,5.1810,0.1403,0.3198,17,4157,brightness
GOODS-S,219237,7.769999980926514,1.0,6-8,14144.5314,10.7553,1315.12,18243.1642,12.1810,0.1288,0.2954,18,4157,brightness
GOODS-N,1080150,7.099999904632568,1.0,6-8,13710.9610,6.5388,2096.85,17090.1485,7.2495,0.1346,0.3078,19,4157,brightness
GOODS-S,184732,7.0,0.9999998807907104,6-8,13409.2041,7.1371,1878.81,17768.0408,7.0387,0.2159,0.4367,20,4157,brightness
GOODS-N,1071130,7.200000286102295,0.9999999403953552,6-8,12863.0960,4.0060,3210.99,15675.7855,5.2922,0.1367,0.3122,21,4157,brightness
GOODS-S,415874,6.990000247955322,1.0,6-8,12298.7021,6.8766,1788.49,14942.9373,7.8641,0.1379,0.3127,22,4157,brightness
GOODS-N,1072135,7.269999980926514,1.0,6-8,12051.9578,3.7576,3207.33,14220.2793,4.7022,0.1372,0.3141,23,4157,brightness
GOODS-N,1093110,7.010000228881836,1.0000001192092896,6-8,12029.0331,12.8854,933.54,15490.2715,13.8726,0.1329,0.3083,24,4157,brightness
GOODS-N,1081013,7.670000076293945,0.9999999403953552,6-8,11838.8406,5.9558,1987.78,13656.6505,6.0858,0.1332,0.3049,25,4157,brightness
GOODS-S,414567,7.820000171661377,1.0,6-8,11592.8869,2.2373,5181.66,14204.8164,2.2363,0.1481,0.3407,26,4157,brightness
GOODS-S,395462,7.309999942779541,0.9999998807907104,6-8,11501.2511,3.7951,3030.59,14893.1241,4.5248,0.1877,0.3944,27,4157,brightness
GOODS-N,1124713,7.53000020980835,1.0,6-8,11378.6154,4.6620,2440.73,15863.5042,5.1648,0.1532,0.3456,28,4157,brightness
GOODS-N,1124718,7.570000171661377,1.0000001192092896,6-8,11191.9484,4.9304,2269.97,14885.5802,5.9156,0.1299,0.2991,29,4157,brightness
GOODS-S,409466,7.760000228881836,1.0,6-8,10473.8330,2.0751,5047.45,12916.2955,2.4979,0.1418,0.3262,30,4157,brightness
GOODS-S,395179,6.369999885559082,0.9999998211860657,6-8,10438.5515,2.1457,4864.96,13822.3703,2.5829,0.1436,0.3296,31,4157,brightness
GOODS-S,398791,7.710000038146973,1.0,6-8,10430.8201,2.8743,3628.98,12875.5587,2.8032,0.1441,0.3308,32,4157,brightness
GOODS-S,415040,6.639999866485596,1.0,6-8,9923.8121,2.8299,3506.81,13103.0527,2.2922,0.1369,0.3155,33,4157,brightness
GOODS-N,1095501,7.579999923706055,1.0,6-8,9699.1995,6.5197,1487.67,13611.8378,8.0830,0.1182,0.2712,34,4157,brightness
GOODS-N,1034234,6.420000076293945,1.0,6-8,9637.5192,7.4716,1289.89,12729.6183,8.7471,0.1086,0.2511,35,4157,brightness
GOODS-S,406242,7.470000267028809,1.0,6-8,9520.0342,8.7639,1086.27,12063.0018,10.2405,0.1058,0.2454,36,4157,brightness
GOODS-S,407539,6.730000019073486,1.0000001192092896,6-8,9518.4080,4.8401,1966.56,12463.3185,6.9521,0.1168,0.2704,37,4157,brightness
GOODS-S,413998,7.800000190734863,1.0,6-8,9369.7242,13.3568,701.50,11072.5863,14.4927,0.1408,0.3285,38,4157,brightness
GOODS-N,1095517,7.670000076293945,1.0,6-8,9169.9312,6.0712,1510.39,12049.6743,9.4554,0.1204,0.2768,39,4157,brightness
GOODS-S,422154,7.190000057220459,1.0,6-8,9017.2014,12.9203,697.91,11966.3326,13.3811,0.1448,0.3314,40,4157,brightness
GOODS-N,1124919,7.579999923706055,1.0000001192092896,6-8,8481.4816,4.1665,2035.65,10882.0311,4.7901,0.1124,0.2588,41,4157,brightness
GOODS-S,405967,8.5,0.9999959468841553,8-10,8444.3765,63.9211,132.11,6513.6855,26.4792,0.9002,1.6056,1,1093,brightness
GOODS-N,1075358,9.130000114440918,0.9999999403953552,8-10,7070.1263,4.8657,1453.06,9277.6410,6.0923,0.1106,0.2542,2,1093,brightness
GOODS-S,219426,8.300000190734863,0.8093301653862,8-10,6136.7470,6.3886,960.58,3586.5458,5.6463,0.2663,0.6085,3,1093,brightness
GOODS-N,1203011,8.239999771118164,1.0000001192092896,8-10,5933.8357,18.2322,325.46,3762.5977,18.3422,0.3745,0.6951,4,1093,brightness
GOODS-S,423232,8.069999694824219,0.9115124940872192,8-10,4938.8967,18.0064,274.29,3204.5319,18.9618,0.2090,0.4508,5,1093,brightness
GOODS-N,1207106,8.270000457763672,0.9868273735046387,8-10,3716.2711,11.6627,318.65,2235.4246,10.6528,0.1402,0.3074,6,1093,brightness
GOODS-S,416916,8.140000343322754,0.9999456405639648,8-10,2741.4434,15.9064,172.35,1562.5065,14.2364,0.1770,0.3803,7,1093,brightness
GOODS-S,171973,8.470000267028809,0.9800812602043152,8-10,2490.7830,2.6799,929.42,1168.2282,2.0178,0.1499,0.3186,8,1093,brightness
GOODS-S,417844,8.460000038146973,0.9999998807907104,8-10,2277.4353,4.7859,475.86,1131.3408,3.7117,0.2258,0.4765,9,1093,brightness
GOODS-S,284527,8.970000267028809,1.0,8-10,2239.5680,6.7628,331.16,1035.1242,5.1793,0.1570,0.3481,10,1093,brightness
GOODS-N,1210090,8.199999809265137,0.9999982118606567,8-10,2131.5553,8.9219,238.91,1138.8267,8.0909,0.1547,0.3413,11,1093,brightness
GOODS-N,1087167,8.149999618530273,1.0,8-10,840.4077,6.6438,126.50,422.6036,5.3227,0.0827,0.1935,12,1093,brightness
GOODS-N,1217765,8.609999656677246,1.0000001192092896,8-10,421.4941,7.5837,55.58,317.4660,6.3841,0.1125,0.2408,13,1093,brightness
GOODS-N,1090714,8.520000457763672,1.0,8-10,403.4813,4.2328,95.32,168.8789,5.0136,0.0935,0.2119,14,1093,brightness
GOODS-S,461166,8.770000457763672,1.0000001192092896,8-10,372.1938,4.8902,76.11,126.5224,3.9585,0.0751,0.1730,15,1093,brightness
GOODS-N,1146309,8.390000343322754,1.0000001192092896,8-10,340.1760,3.0048,113.21,215.1623,2.9985,0.0979,0.2215,16,1093,brightness
GOODS-N,1221701,8.739999771118164,0.9999999403953552,8-10,303.2056,5.1461,58.92,137.4081,4.5742,0.0724,0.1683,17,1093,brightness
GOODS-S,308058,8.520000457763672,1.0,8-10,284.1599,3.9954,71.12,196.8698,3.1910,0.0975,0.2185,18,1093,brightness
GOODS-S,392592,8.300000190734863,0.9999999403953552,8-10,273.9392,1.5736,174.08,138.7188,1.4194,0.1365,0.2730,19,1093,brightness
GOODS-S,412844,8.890000343322754,1.0000001192092896,8-10,267.4345,4.0584,65.90,139.4416,3.2715,0.1427,0.2838,20,1093,brightness
GOODS-N,1091505,9.350000381469727,1.0,8-10,259.9492,1.7318,150.11,112.0503,1.8417,0.0700,0.1639,21,1093,brightness
GOODS-S,404990,9.479999542236328,1.0,8-10,249.3730,12.1796,20.47,203.4998,11.6637,0.2365,0.4524,22,1093,brightness
GOODS-N,1220558,8.899999618530273,1.0000001192092896,8-10,246.6358,8.6515,28.51,131.2191,7.5442,0.1249,0.2608,23,1093,brightness
GOODS-N,1219520,8.300000190734863,1.0,8-10,239.5686,6.9948,34.25,113.3741,6.3370,0.0877,0.1985,24,1093,brightness
GOODS-S,429652,8.380000114440918,1.0000001192092896,8-10,232.1238,7.3922,31.40,124.2987,8.8652,0.0972,0.2153,25,1093,brightness
GOODS-S,13405,8.520000457763672,1.0,8-10,231.0042,2.3707,97.44,152.3128,2.0813,0.0896,0.1933,26,1093,brightness
GOODS-S,463722,8.770000457763672,0.999997615814209,8-10,230.6403,5.9369,38.85,127.2248,5.4930,0.0806,0.1863,27,1093,brightness
GOODS-S,462916,8.199999809265137,0.891117513179779,8-10,219.5008,3.1582,69.50,104.6199,4.9524,0.0739,0.1713,28,1093,brightness
GOODS-S,454692,9.119999885559082,0.9633843898773193,8-10,219.2698,7.0243,31.22,222.7415,6.3319,0.1077,0.2361,29,1093,brightness
GOODS-N,1203391,9.5600004196167,0.9226704835891724,8-10,217.6206,37.3149,5.83,208.1060,32.6527,0.3591,0.6544,30,1093,brightness
GOODS-S,188911,11.65999984741211,0.9999998807907104,10-15,16283.4203,6.3150,2578.52,19797.7407,6.1566,0.1526,0.3583,1,285,brightness
GOODS-S,416913,11.569999694824219,0.9994826912879944,10-15,7121.1753,25.8878,275.08,5121.9705,23.4481,0.2702,0.5138,2,285,brightness
GOODS-N,1030374,11.899999618530273,1.0,10-15,5991.1768,23.8944,250.74,3126.3841,21.0673,0.3205,0.6377,3,285,brightness
GOODS-S,428330,11.609999656677246,0.9972654581069946,10-15,4877.4846,18.4736,264.02,3124.3095,28.8561,0.3958,0.7050,4,285,brightness
GOODS-S,402176,12.710000038146973,0.9998872876167297,10-15,4776.0972,2.6116,1828.79,2152.4407,2.0349,0.1742,0.3904,5,285,brightness
GOODS-S,431625,11.739999771118164,0.9994134902954102,10-15,4262.3842,17.6112,242.03,2468.6500,14.9470,0.2315,0.4701,6,285,brightness
GOODS-S,172813,13.100000381469727,0.9481474161148071,10-15,4092.4951,8.7402,468.24,2203.6482,12.9997,0.4189,0.8663,7,285,brightness
GOODS-N,1125125,11.880000114440918,1.0,10-15,3833.6036,11.0824,345.92,2052.8355,10.1109,0.2782,0.5541,8,285,brightness
GOODS-N,1027338,12.649999618530273,0.979831874370575,10-15,3456.5792,23.1290,149.45,1758.0593,16.7104,0.3339,0.6221,9,285,brightness
GOODS-S,192282,12.5600004196167,0.9999999403953552,10-15,3239.4268,2.8436,1139.21,1484.4952,2.1052,0.1002,0.2297,10,285,brightness
GOODS-S,354660,12.670000076293945,0.9999977946281433,10-15,2767.3778,7.3272,377.68,1421.2484,6.2429,0.2111,0.4597,11,285,brightness
GOODS-N,1186342,11.970000267028809,0.9999998807907104,10-15,2175.4129,9.1713,237.20,1029.4537,7.8625,0.2428,0.4936,12,285,brightness
GOODS-S,153323,12.069999694824219,0.9981983304023743,10-15,2012.9166,9.6832,207.88,1002.6046,8.2178,0.2040,0.4249,13,285,brightness
GOODS-S,433690,12.519999504089355,0.9999998211860657,10-15,2004.0649,2.3420,855.72,804.7423,1.8741,0.0931,0.2147,14,285,brightness
GOODS-N,1208716,12.619999885559082,0.9999454021453857,10-15,1498.8212,8.2918,180.76,841.4401,7.0370,0.2342,0.4315,15,285,brightness
GOODS-S,404158,12.600000381469727,0.9999998807907104,10-15,1430.6577,9.3599,152.85,835.7088,8.0295,0.4710,0.8523,16,285,brightness
GOODS-N,1204188,12.680000305175781,0.9999510049819946,10-15,1344.2142,13.1428,102.28,795.2983,13.3052,0.2713,0.4869,17,285,brightness
GOODS-S,429397,12.15999984741211,0.9999841451644897,10-15,1323.6220,8.8197,150.08,789.4110,13.8603,0.2009,0.4175,18,285,brightness
GOODS-N,1075168,12.519999504089355,1.0000001192092896,10-15,734.0414,3.7688,194.77,382.7311,3.8086,0.1479,0.3227,19,285,brightness
GOODS-N,1206691,12.699999809265137,0.9193974733352661,10-15,636.3360,10.5264,60.45,260.7665,6.9718,0.1332,0.2808,20,285,brightness
GOODS-S,429401,12.630000114440918,0.9650630950927734,10-15,615.9599,25.3231,24.32,353.0456,18.7150,0.2876,0.5322,21,285,brightness
GOODS-S,421975,12.600000381469727,0.9999998807907104,10-15,491.4216,4.1781,117.62,240.6714,3.4242,0.1997,0.4080,22,285,brightness
GOODS-N,1223231,11.920000076293945,1.0000001192092896,10-15,440.4238,5.8079,75.83,76.3735,5.0801,0.0811,0.1894,23,285,brightness
GOODS-S,441205,12.069999694824219,1.0,10-15,243.0342,5.3407,45.51,45.3475,4.0190,0.0729,0.1668,24,285,brightness
GOODS-S,473785,12.029999732971191,1.0,10-15,231.4523,4.8620,47.60,48.8689,3.9144,0.0684,0.1589,25,285,brightness
GOODS-S,153326,11.550000190734863,1.0,10-15,224.4893,2.3884,93.99,116.9778,1.8942,0.0748,0.1736,26,285,brightness
GOODS-S,464514,11.489999771118164,1.0000001192092896,10-15,223.0884,4.4589,50.03,82.3661,3.8167,0.0723,0.1686,27,285,brightness
GOODS-N,1003262,11.869999885559082,0.9999998807907104,10-15,184.7899,4.8031,38.47,36.8930,3.2460,0.0748,0.1761,28,285,brightness
GOODS-N,1005591,11.039999961853027,0.9999998211860657,10-15,141.0571,2.8429,49.62,128.8283,2.3265,0.0720,0.1688,29,285,brightness
GOODS-S,432377,13.809999465942383,0.999718964099884,10-15,125.8045,11.0601,11.37,58.3101,9.3786,0.1430,0.2832,30,285,brightness
